Y_TRUE,Y_PRED,BEST_PARAMS,PARAMS,EST_NAME,ESTIMATOR,DATA,SEED,RUN,ACCURACY,F1,RECALL
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.64256643 1.36709113],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",200,10,0.9162112932604736,0.9142406500062832,0.9162112932604736
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.95160543 1.        ],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",210,11,0.9186399514268366,0.9170985018421612,0.9186399514268366
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.56552833 1.25868581],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",220,12,0.9253187613843351,0.9234699568744502,0.9253187613843351
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.94485252 1.        ],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",230,13,0.9234972677595629,0.9219663822847401,0.9234972677595629
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.08741446 1.47422905],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",240,14,0.9192471159684275,0.9180042077521267,0.9192471159684275
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.71560327 1.        ],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",250,15,0.9222829386763813,0.9205456914969562,0.9222829386763813
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.18607611 1.        ],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",260,16,0.9131754705525197,0.9117705065275459,0.9131754705525197
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 4, 'weights': 'distance'}",[3.5421174  0.62334088 1.        ],KNN,"KNeighborsClassifier(n_neighbors=4, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",270,17,0.9186399514268366,0.9161886016247447,0.9186399514268366
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.34161204 0.93896735 1.41701762],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",280,18,0.9180327868852459,0.916378609419398,0.9180327868852459
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.06726503 1.06753633],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",290,19,0.9253187613843351,0.923679555459884,0.9253187613843351
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.9249669  1.43510387],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",300,20,0.9192471159684275,0.917318034181438,0.9192471159684275
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.         1.07196211],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",310,21,0.9186399514268366,0.9170317932487523,0.9186399514268366
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.18595177 1.12797044],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",320,22,0.922890103217972,0.9212139260650861,0.922890103217972
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 2, 'n_neighbors': 1, 'weights': 'distance'}",[1.        1.        2.2150869],KNN,"KNeighborsClassifier(n_neighbors=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",330,23,0.9034608378870674,0.901131267882656,0.9034608378870674
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         1.         1.20049347],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",340,24,0.9210686095931998,0.9193456853617575,0.9210686095931998
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.78168355 1.39862027],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",350,25,0.9198542805100182,0.9179770562458757,0.9198542805100182
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 3, 'weights': 'distance'}",[3.14425967 0.84802471 1.        ],KNN,"KNeighborsClassifier(n_neighbors=3, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",360,26,0.9180327868852459,0.9152051550686785,0.9180327868852459
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.         1.32780358],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",370,27,0.9259259259259259,0.9244343445648444,0.9259259259259259
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.16419106 1.        ],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",380,28,0.9247115968427444,0.9229447286046548,0.9247115968427444
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 4, 'weights': 'distance'}",[4.16397438 0.59474334 1.27068577],KNN,"KNeighborsClassifier(n_neighbors=4, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",390,29,0.9234972677595629,0.9211486039753946,0.9234972677595629
